video,seed=0,seed=1,seed=2,seed=3,seed=4,medianresult
coke11,0.923601,0.623601,0.925404,0.798804,0.84446,=MEDIAN(B2:F2)
david,0.484587,0.484587,0.699852,0.545157,0.458248,=MEDIAN(B3:F3)
faceocc,0.824257,0.824257,0.805144,0.813623,0.809727,=MEDIAN(B4:F4)
faceocc2,0.810560,0.810560,0.776850,0.771062,0.804181,=MEDIAN(B5:F5)
girl,0.673124,0.673124,0.674255,0.648088,0.672698,=MEDIAN(B6:F6)
sylv,0.793326,0.793326,0.857635,0.857293,0.86277,=MEDIAN(B7:F7)
tiger1,0.742282,0.742282,0.765472,0.752188,0.678037,=MEDIAN(B8:F8)
tiger2,0.664451,0.664451,0.680604,0.689924,0.702875,=MEDIAN(B9:F9)
