video,seed=0,seed=1,seed=2,seed=3,seed=4,medianresult
coke11,0.883395,0.883395,0.850019,0.932491,0.832323,=MEDIAN(B2:F2)
david,0.800847,0.800847,0.856934,0.855023,0.862195,=MEDIAN(B3:F3)
faceocc,0.853354,0.853354,0.860236,0.861656,0.863313,=MEDIAN(B4:F4)
faceocc2,0.790128,0.790128,0.805538,0.807330,0.804886,=MEDIAN(B5:F5)
girl,0.681729,0.681729,0.680617,0.684308,0.682061,=MEDIAN(B6:F6)
sylv,0.861525,0.861525,0.860662,0.862068,0.794765,=MEDIAN(B7:F7)
tiger1,0.674713,0.674713,0.776379,0.752767,0.652811,=MEDIAN(B8:F8)
tiger2,0.667268,0.667268,0.686441,0.683925,0.631094,=MEDIAN(B9:F9)
